#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,last,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,sensor
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:01:50Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:00Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:10Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:20Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:40Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:50Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:00Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:10Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:20Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:40Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:50Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:00Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:10Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:20Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:40Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:50Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:00Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:10Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:20Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:40Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:50Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:00Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:10Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:20Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,0,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:39.966512317Z,0,temp,temp,Fathimas-MacBook-Air.local,TA0P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:01:50Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:00Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:10Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:20Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:40Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:50Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:00Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:10Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:20Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:40Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:50Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:00Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:10Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:20Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:40Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:50Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:00Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:10Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:20Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:40Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:50Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:00Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:10Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:20Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:39.966512317Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:01:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:10Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:20Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:30Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:40Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:10Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:20Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:30Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:40Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:10Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:20Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:30Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:40Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:10Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:20Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:30Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:40Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:10Z,32,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:20Z,32,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:30Z,32,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:39.966512317Z,32,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:01:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:10Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:20Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:30Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:40Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:10Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:20Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:30Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:40Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:10Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:20Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:30Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:40Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:04:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:10Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:20Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:30Z,33,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:40Z,32,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:05:50Z,32,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:00Z,32,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:10Z,32,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:20Z,32,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:30Z,32,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,3,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:39.966512317Z,32,temp,temp,Fathimas-MacBook-Air.local,TB1T
,,4,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:01:50Z,30,temp,temp,Fathimas-MacBook-Air.local,TB2T
,,4,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:00Z,30,temp,temp,Fathimas-MacBook-Air.local,TB2T
,,4,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:10Z,30,temp,temp,Fathimas-MacBook-Air.local,TB2T
,,4,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:20Z,30,temp,temp,Fathimas-MacBook-Air.local,TB2T
